id;libelle;description;created_by;created_date;last_modified_by;last_modified_date
1;Bus;;system;"2020-04-04 18:00:00";system;"2020-04-04 18:00:00"
2;Taxi;;system;"2020-04-04 18:00:00";system;"2020-04-04 18:00:00"
3;Clando;;system;"2020-04-04 18:00:00";system;"2020-04-04 18:00:00"
4;Autres;;system;"2020-04-04 18:00:00";system;"2020-04-04 18:00:00"
